sampleid	bam	depth
B007-10_2	data/bams/corrida_20260310_2/B007-10_2.sorted.aligned.bam	1.12
B017-02_1	data/bams/corrida_20260310_2/B017-02_1.sorted.aligned.bam	0.55
B017-06_2	data/bams/corrida_20260310_2/B017-06_2.sorted.aligned.bam	0.92
B020-01_2	data/bams/corrida_20260310_2/B020-01_2.sorted.aligned.bam	1.76
B017-07_1	data/bams/corrida_20260310_2/B017-07_1.sorted.aligned.bam	1.01
B017-05_1	data/bams/corrida_20260310_2/B017-05_1.sorted.aligned.bam	0.17
B017-09_2	data/bams/corrida_20260310_2/B017-09_2.sorted.aligned.bam	1.01
B017-04_1	data/bams/corrida_20260310_2/B017-04_1.sorted.aligned.bam	0.51
B007-04_1	data/bams/corrida_20260310_2/B007-04_1.sorted.aligned.bam	0.64
